"jung","nuori | nuoren | nourta | nuoria"
"modern","nykyaikainen | nykyaikaisen | nykyaikaista | nykyaikaisia"
"jetzt","nyt"
"warten | erwarten","odottaa | odotan | odotin | odottanut [1, + Part]"
"recht | richtig","oikea | oikean | oikeaa | oikeita"
"richtig | sehr [Adv]","oikein"
"bitte [geben]","ole hyvä"
"tut mir leid","olen pahoillani"
"sein","olla | olen | olin | ollut [3]"
"ledig sein","olla naimaton"
"verheiratet sein","olla naimisissa"
"Single sein","olla sinkku"
"geboren sein","olla syntynyt"
"es ist sonnig","on aurinkoista"
"es ist Sturm | es ist stürmisch","on myrsky"
"es ist bewölkt","on pilvistä"
"Es ist windig","on tuulista"
"Es gewittert","on ukonilma | ukkostaa"
"studieren","opiskelea | opiskelen | opiskelin | opiskellut [3]"
"Student","opiskelija | opiskelijan | opiskelijaa | opiskelijoita"
"lernen","oppia | opin | opin | oppinut [1]"
"orange","oranssi | oranssin | oranssia | oransseja"
"können [iSv. wissen]","osata | osaan | osasin | osannut [4]"
"kaufen","ostaa | ostan | ostin | ostanut [1]"
"Shoppincenter","ostoskeskus | ostoskeskuksen | ostoskeskusta | ostoskeskuksia"
"nehmen","ottaa | otan | otin | ottanut [1]"
"auf | drauf | an","päällä | päältä | päälle [Gen + ~]"
"scheinen","paistaa | paistaa | paistoi | paistanut [1]"
"außer [Adv]","paitsi"
"Tag | Mittag","päivä | päivän | päivää | päiviä"
"mittags | zu Mittag","päivällä"
"Stück","pala | palan | palaa | paloja"
"legen | stellen | hintun","panna | panen | panin | pannut [3]"
"spielen","pelata | pelaan | pelasin | pelannut [4]"
"Familie","perhe | perheen | perhettä | perheitä"
"Freitag","perjantai | perjantain | perjantaita"
"klein","pieni | pienen | pientä | pieniä"
"bewölkt","pilvinen | pilvisen | pilvistä | pilvisiä"
"dunkel ","pimeä | pimeän | pimeää | pimeitä"
"mögen | gern haben","pitää | pidän | pidin | pitänyt [1]"
"Sohn | Bub","poika | poikan | poikaa | poikia"
"[fester] Freund","poikaystävä | poikaystävän | poikaystävää | poikaystäviä"
"weg | fort [Adv]","pois"
"sprechen","puhua | puhun | puhuin | puhunut [1]"
"Flasche","pullo | pullon | pulloa | polloja"
"rot","punainen | punaisen | punaista | punaisia"
"halb","puoli | puolen | puolta | puolia"
"Fahrrad","pyörä | pyörän | pyörää | pyöriä"
"radfahren","pyöräillä | pyöräilen | pyöräilin | pyöräillyt [3]"
"Gebäude","rakennus | rakennuksen | rakennusta | rakennuksia"
"Französisch | Frankreich","ranska | ranskan | ranskaa"
"ruhig","rauhallinen | rauhallisen | rauhallista | rauhallisia"
"Bahnhof","rautatieasema | rautatieaseman | rautatieasemaa | rautatieasemia"
"Restaurant","ravintola | ravintolan | ravintolaa | ravintoloita"
